f1_mean,f1_std,f1_max,f1_min,f1_ptp,f1_rms,f1_max_rocof,f1_nadir_time,f1_rms_ratio,f2_mean,f2_std,f2_max,f2_min,f2_ptp,f2_rms,f2_max_rocof,f2_nadir_time,f2_rms_ratio,ptie_mean,ptie_std,ptie_max,ptie_min,ptie_ptp,ptie_rms,ptie_max_rocof,ptie_nadir_time,ptie_rms_ratio,H1,H2
1.3579342805769556e-07,0.00015908006753306836,0.0007353074033744633,-0.0007457355386577547,0.001481042942032218,0.00015907129272818565,10086.52734375,21.05,0.07375351723369077,-1.2591058862199134e-08,0.0001326522760791704,0.000616370583884418,-0.0006027179770171642,0.0012190885609015822,0.00013264489825814962,11611.146484375,22.53,0.07317443296797703,7.574963547085645e-06,0.0018296206835657358,0.009636815637350082,-0.008778478018939495,0.018415294587612152,0.0018295347690582275,10022.4638671875,21.75,0.06491793563589969,4.260904312133789,7.948232173919678
1.6940566638368182e-07,0.0001487341505708173,0.0005536159151233733,-0.0005624472396448255,0.0011160632129758596,0.00014872598694637418,10489.3779296875,21.53,0.08794646487813199,2.2592620041450573e-07,0.0001436806342098862,0.0005893642082810402,-0.0005941095296293497,0.00118347373791039,0.00014367281983140856,10346.1162109375,22.97,0.06849882756369889,6.300692803051788e-06,0.0016659550601616502,0.0077014826238155365,-0.007383504416793585,0.015084987506270409,0.0016658743843436241,10002.2861328125,22.19,0.05392528085679289,7.715201377868652,6.826085090637207
-4.262478014993576e-08,0.00015416747191920877,0.0007896487950347364,-0.000777559878770262,0.0015672086738049984,0.00015415891539305449,10022.3232421875,21.03,0.09681770355544798,7.808039725887284e-08,0.0001381773763569072,0.0007092506857588887,-0.0006937195430509746,0.0014029701706022024,0.00013816972204949707,10030.9111328125,22.2,0.07704162261523914,5.790630439150846e-06,0.0016676504164934158,0.008551070466637611,-0.007953633554279804,0.01650470495223999,0.0016675677616149187,10006.990234375,21.6,0.08504132332646275,3.8497657775878906,5.161128520965576
3.9347822777813235e-09,0.00015819557302165776,0.0008233824628405273,-0.0008101750863716006,0.001633557491004467,0.00015818678366485983,10015.568359375,20.85,0.14454710153406533,1.8006871016496007e-07,0.0001418583415215835,0.0007779689622111619,-0.0007504443638026714,0.0015284132678061724,0.00014185058535076678,10055.5234375,22.02,0.07440012668526681,3.2018426736613037e-06,0.0016804231563583016,0.008560329675674438,-0.00800303928554058,0.01656336896121502,0.001680332818068564,10021.7236328125,21.46,0.07477116234272027,3.507676601409912,4.338157653808594
-3.3859427617244364e-07,0.0001536260242573917,0.0007564605912193656,-0.0007818096200935543,0.001538270153105259,0.0001536178751848638,10006.990234375,21.06,0.15755955948475678,1.4580861318336247e-07,0.0001404715294484049,0.0006815682863816619,-0.0007237974205054343,0.001405365765094757,0.00014046380238141865,10466.7080078125,22.24,0.07222487670189763,1.853666503848217e-06,0.0016478148754686117,0.008214034140110016,-0.008062426000833511,0.016276460140943527,0.0016477244207635522,10093.3037109375,21.64,0.12046022927140151,4.107337474822998,5.210690498352051
2.231590769952163e-07,0.00014900698442943394,0.0005665305652655661,-0.0005846787244081497,0.001151209231466055,0.00014899887901265174,10097.6865234375,21.47,0.11470374788090824,4.8358361937062e-07,0.00013672291242983192,0.0005720506887882948,-0.0006084924098104239,0.0011805430985987186,0.0001367161748930812,10014.3955078125,22.72,0.08529237174771037,8.170663022610825e-06,0.0015763110714033246,0.007028964348137379,-0.006697796750813723,0.013726761564612389,0.0015762445982545614,10005.87109375,22.03,0.08636770709646657,7.660874843597412,5.19677734375
3.427242134534936e-08,0.0001506107801105827,0.000764336553402245,-0.0007747426861897111,0.0015390792395919561,0.0001506024127593264,10448.5751953125,21.04,0.1134639904664607,-1.0370744263354936e-08,0.00013781820598524064,0.0007331565138883889,-0.0006988118402659893,0.0014319682959467173,0.00013781055167783052,10015.462890625,22.23,0.10107345503406112,4.907564289169386e-06,0.0016369890654459596,0.00857964251190424,-0.007876545190811157,0.016456186771392822,0.0016369054792448878,10003.9619140625,21.62,0.0768166508513259,4.175076007843018,4.857270240783691
3.2849675335455686e-07,0.00014899700181558728,0.0005697017186321318,-0.000561311433557421,0.0011310131521895528,0.00014898908557370305,10013.1826171875,21.52,0.08269861286517374,2.350224548308688e-07,0.00014245473721530288,0.0005745438975282013,-0.0006004767492413521,0.0011750205885618925,0.00014244701014831662,13132.62890625,22.94,0.03843841866479369,2.1379560166678857e-06,0.001666598254814744,0.007632153574377298,-0.007406299468129873,0.015038453042507172,0.0016665069852024317,10050.6591796875,22.21,0.055085172700514655,7.63721227645874,6.7666335105896
7.013811398337566e-08,0.00016537286865059286,0.0009147301316261292,-0.0008711171103641391,0.0017858472419902682,0.000165363700943999,11154.9404296875,20.84,0.1279217812165735,2.404409258360829e-07,0.0001409802061971277,0.0007999835652299225,-0.0007690212805755436,0.0015690048458054662,0.0001409725664416328,10052.9404296875,21.92,0.07105624432159499,5.829931524203857e-06,0.0016887432429939508,0.008967705070972443,-0.008106723427772522,0.017074428498744965,0.0016886594239622355,10021.4296875,21.42,0.08749965924095945,3.0322322845458984,4.247894287109375
9.263413147664323e-08,0.0001694008824415505,0.0008866096613928676,-0.0008344987872987986,0.0017211084486916661,0.00016939151100814342,11638.5732421875,20.93,0.1547495396116055,1.4220304933587613e-07,0.00013740458234678954,0.0007307418854907155,-0.0006739044329151511,0.0014046463184058666,0.0001373970153508708,10015.9228515625,22.17,0.08145520982758271,5.581376171903685e-06,0.0017752510029822588,0.009639875032007694,-0.008577851578593254,0.018217727541923523,0.0017751612467691302,19661.958984375,21.53,0.07950846422380464,3.4922211170196533,5.863099575042725
4.0801526779432606e-07,0.0001459954510210082,0.0005610932130366564,-0.0005738976178690791,0.0011349908309057355,0.00014598789857700467,10419.234375,21.43,0.09877654548144024,4.776639457304555e-07,0.00013981341908220202,0.0005714225699193776,-0.0006182988290674984,0.001189721398986876,0.00013980646326672286,10217.1083984375,22.76,0.0827114672338675,2.3575933028041618e-07,0.0016196508659049869,0.007336406968533993,-0.007274675648659468,0.014611082151532173,0.0016195608768612146,10007.1826171875,22.02,0.10185160473380729,7.432319164276123,6.079247951507568
