f1_mean,f1_std,f1_max,f1_min,f1_ptp,f1_rms,f1_max_rocof,f1_nadir_time,f1_rms_ratio,f2_mean,f2_std,f2_max,f2_min,f2_ptp,f2_rms,f2_max_rocof,f2_nadir_time,f2_rms_ratio,ptie_mean,ptie_std,ptie_max,ptie_min,ptie_ptp,ptie_rms,ptie_max_rocof,ptie_nadir_time,ptie_rms_ratio,H1,H2
3.94564813177567e-06,0.0003003843012265861,0.001370321144349873,-0.0012808485189452767,0.00265116966329515,0.0003003935271408409,10013.9462890625,21.29,0.3004629599930762,4.926353653900151e-07,0.00017043155094143003,0.0007641911506652832,-0.0007129947771318257,0.001477185869589448,0.00017042280524037778,10000.4658203125,21.98,0.5883926320474148,1.9702143617905676e-05,0.006448845844715834,0.02230159379541874,-0.016078144311904907,0.0383797362446785,0.006448518019169569,10000.0986328125,22.43,0.7333765852741951,3.1690673828125,4.289125919342041
4.755334430228686e-06,0.00024276705516967922,0.0009380497504025698,-0.0008064732537604868,0.0017445229459553957,0.0002428001316729933,10000.16796875,22.15,0.3903434397026071,1.3128062619216507e-06,0.00016832347318995744,0.00061490957159549,-0.0004977392381988466,0.0011126487515866756,0.00016831923858262599,10000.087890625,22.99,0.6300853815514177,4.676053504226729e-05,0.006890721153467894,0.021484453231096268,-0.015286103822290897,0.03677055612206459,0.006890496704727411,9999.9501953125,24.19,0.7599555632529195,7.892919063568115,7.670897483825684
4.50580773758702e-06,0.00024596028379164636,0.000987128121778369,-0.0008126815082505345,0.0017998096300289035,0.00024598787422291934,10000.0380859375,22.04,0.4060833603207656,1.1234673138460494e-06,0.00016424941713921726,0.0005976033280603588,-0.0004539208021014929,0.0010515241883695126,0.0001642441493459046,10000.1640625,22.66,0.6525122730469081,4.534341496764682e-05,0.006821685004979372,0.021887633949518204,-0.015903109684586525,0.03779074549674988,0.006821456830948591,10000.078125,24.01,0.7723191043766524,7.598004341125488,5.541728973388672
4.631537194654811e-06,0.00024397678498644382,0.0009823233122006059,-0.0008343917434103787,0.0018167151138186455,0.00024400718393735588,10000.1416015625,22.02,0.3904267829441262,1.3771875728707528e-06,0.0001672759826760739,0.0006415188545361161,-0.0005041337572038174,0.0011456526117399335,0.00016727235924918205,10000.134765625,22.88,0.6427199124598152,4.896379687124863e-05,0.006799458526074886,0.021345078945159912,-0.015107747167348862,0.036452826112508774,0.006799257826060057,10000.07421875,23.81,0.7666087523702596,7.2073893547058105,7.465921878814697
4.397077645990066e-06,0.00026250764494761825,0.0010446307715028524,-0.0008718653698451817,0.0019164960831403732,0.0002625298802740872,10000.765625,22.17,0.37346136315270934,1.1008922911059926e-06,0.00017731812840793282,0.0006914764526300132,-0.000521792215295136,0.0012132686097174883,0.00017731169646140188,10019.9462890625,23.63,0.6383990117195656,4.610542600858025e-05,0.006937889847904444,0.02302435413002968,-0.016742372885346413,0.03976672887802124,0.006937657482922077,10000.1005859375,23.54,0.7482749096600898,7.267732620239258,3.34043025970459
4.772661213792162e-06,0.0002610664232634008,0.0010279358830302954,-0.0008819795330055058,0.0019099153578281403,0.000261095556197688,10000.1552734375,22.14,0.36103355929235215,1.2149459962529363e-06,0.00016683693684171885,0.0006062746397219598,-0.0004363852203823626,0.0010426598601043224,0.00016683207650203258,10008.64453125,23.84,0.6495060903042953,4.987803549738601e-05,0.00693899393081665,0.02295038476586342,-0.017029816284775734,0.0399802029132843,0.00693878810852766,10000.0654296875,23.72,0.7344119411240106,7.197399139404297,3.464761972427368
4.1227322071790695e-06,0.0002595159166958183,0.0010594346094876528,-0.0009572439012117684,0.0020166784524917603,0.00025953425210900605,10000.4375,21.77,0.3476369941983487,8.049047437452828e-07,0.00016555270121898502,0.0006375850643962622,-0.0005365907563827932,0.0011741758789867163,0.0001655454543652013,10001.9775390625,22.33,0.6345012451948941,3.047120844712481e-05,0.006678482051938772,0.02264462783932686,-0.0161428265273571,0.03878745436668396,0.006678180769085884,10000.0849609375,23.64,0.7401355851752422,5.621267318725586,5.0661301612854
4.601750333677046e-06,0.00024814129574224353,0.0009941499447450042,-0.0008308451506309211,0.0018249950371682644,0.0002481701667420566,10000.267578125,22.17,0.37259759106968665,1.4521789353239e-06,0.00016683226567693055,0.0006049457006156445,-0.0004851107078138739,0.0010900563793256879,0.0001668293116381392,10000.259765625,22.49,0.6491299531406379,5.435217099147849e-05,0.006849517580121756,0.022012365981936455,-0.015836380422115326,0.03784874826669693,0.006849352736026049,10000.0517578125,24.01,0.7712188498217986,7.4129533767700195,6.282756328582764
3.6394969811226474e-06,0.0002663183549884707,0.0013405077625066042,-0.0011801846558228135,0.0025206925347447395,0.00026632845401763916,10000.57421875,21.33,0.3275788125874899,5.645400733556016e-07,0.00016742698790039867,0.000816165586002171,-0.0006476526614278555,0.0014638182474300265,0.0001674186351010576,10039.78515625,22.2,0.5657602154769203,1.8074752006214112e-05,0.006356824655085802,0.021705664694309235,-0.015949148684740067,0.0376548133790493,0.006356497760862112,10000.0966796875,22.28,0.7552411999685021,3.3151373863220215,6.4202117919921875
4.00550925405696e-06,0.0002501650888007134,0.0011612784583121538,-0.001049689599312842,0.0022109681740403175,0.00025018322048708797,10000.59765625,21.46,0.337072863134132,9.149911761596741e-07,0.00016710167983546853,0.0007526278495788574,-0.0006216017645783722,0.0013742295559495687,0.00016709491319488734,10000.052734375,22.53,0.5691543041066569,3.120782639598474e-05,0.006479091476649046,0.02137543447315693,-0.015922795981168747,0.037298232316970825,0.006478806957602501,10000.078125,22.59,0.7495477672979133,4.298238754272461,7.797035217285156
